"Quote_Id","Quote_Date","Quote_Flag","Field_info1","Field_info2","Field_info3","Field_info4","Coverage_info1","Coverage_info2","Coverage_info3","Sales_info1","Sales_info2","Sales_info3","Sales_info4","Sales_info5","Personal_info1","Personal_info2","Personal_info3","Personal_info4","Personal_info5","Property_info1","Property_info2","Property_info3","Property_info4","Property_info5","Geographic_info1","Geographic_info2","Geographic_info3","Geographic_info4","Geographic_info5"
28,"8/10/13",0,"E",0.9482,"1,480","N",8,22,"F",1,5,4,"P",3956,"N",-1,"ZA",0,2,"N",0,"R",0,7,9,25,25,"N","IL"
42,"19/12/14",0,"J",0.887,"1,113","N",7,22,"C",0,3,20,"V",54042,"N",5,"ZR",0,,"N",0,"J",1,10,24,12,-1,"N","TX"
57,"15/4/15",1,"F",1.0101,"548","N",7,22,"G",1,2,3,"K",36654,"N",7,"YH",0,,"N",0,"R",1,21,4,18,-1,"N","NJ"
73,"9/3/15",0,"B",0.9153,"935","N",5,22,"D",0,5,20,"K",9102,"N",6,"ZA",0,2,"N",0,"O",0,12,2,7,-1,"N","CA"
212,"22/5/14",0,"B",0.9153,"935","N",16,22,"D",1,5,11,"P",26026,"N",12,"ZA",0,2,"N",0,"O",0,19,2,8,-1,"N","CA"
226,"29/6/13",0,"B",0.9403,"965","N",11,22,"K",1,5,17,"K",29798,"N",-1,"ZA",0,2,"N",0,"D",1,24,1,6,-1,"N","CA"
256,"13/12/14",0,"F",1.0005,"548","N",10,22,"E",1,4,11,"R",46842,"N",-1,"XM",0,,"N",0,"R",1,20,4,18,-1,"N","NJ"
343,"1/2/14",0,"F",0.9685,"548","N",7,22,"H",0,5,20,"R",27038,"N",-1,"XE",0,,"N",0,"R",1,8,4,19,-1,"N","NJ"
362,"12/8/13",0,"F",0.9919,"564","N",2,22,"E",0,5,21,"P",22778,"N",5,"ZT",0,,"N",0,"R",1,2,4,16,-1,"N","NJ"
410,"17/10/13",0,"B",0.9403,"965","N",14,2,"E",1,2,20,"Q",36658,"N",7,"ZA",0,2,"N",0,"O",1,18,2,10,-1,"N","CA"
423,"7/11/14",0,"B",0.9153,"935","N",2,22,"D",0,5,11,"Q",15500,"N",-1,"ZA",0,2,"N",0,"O",0,17,2,10,-1,"N","CA"
462,"12/2/14",0,"J",0.8922,"1,113","N",4,2,"F",1,5,11,"T",40765,"N",16,"YH",0,,"N",0,"R",1,2,14,6,-1,"N","TX"
464,"13/5/15",0,"F",1.0101,"548","N",9,25,"E",0,3,20,"K",3040,"N",9,"ZF",0,,"Y",0,"R",1,17,4,17,-1,"N","NJ"
472,"4/11/14",0,"B",0.9153,"935","N",7,2,"D",0,5,11,"P",19779,"N",4,"ZA",0,2,"N",0,"O",1,9,2,12,-1,"Y","CA"
515,"23/5/13",0,"B",0.9403,"965","N",2,22,"D",0,5,15,"Q",23433,"N",5,"ZA",0,2,"N",0,"O",0,1,2,8,-1,"N","CA"
